id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
2f1b51e7dfc20eff3ece98dadc167ba6,krakow,blockOfFlats,45.0,2.0,,,,50.077305844033,20.0462339381123,8.07,27.0,0.095,1.282,0.237,0.18,0.224,0.885,0.089,condominium,,,no,no,no,no,yes,610000
f13533bcf372b8820049ab882b852251,krakow,,33.0,2.0,1.0,4.0,1980.0,50.0960604255749,19.9703229911301,5.07,8.0,0.47,1.052,0.18,0.491,0.288,2.34,0.354,condominium,concreteSlab,low,yes,yes,no,no,yes,469000
8b124843054e3a7bd1793fe7228744b0,krakow,tenement,54.0,2.0,2.0,4.0,1950.0,50.069481230255,19.9602997557877,2.22,15.0,0.469,0.138,0.436,0.219,0.289,0.548,0.39,condominium,brick,,no,no,no,no,yes,949900
9402d1ce03a45be84646296b8f00b9ba,krakow,,44.0,2.0,3.0,3.0,,50.0126876288685,19.9102542745739,5.15,3.0,0.793,0.671,0.732,0.431,0.756,3.488,0.672,condominium,,premium,no,no,no,no,no,640000
e8fe73d9568c7047bd092faea1562a3c,krakow,tenement,42.0,2.0,2.0,4.0,1920.0,50.0494171372519,19.9452977314973,0.82,144.0,0.179,0.327,0.429,0.355,0.082,0.477,0.221,udział,brick,low,no,yes,no,no,no,748000
6ac65d5896f67ded5009f798abdcc909,krakow,,47.0,3.0,3.0,3.0,1950.0,50.07653,19.90219,3.5,13.0,0.335,0.751,0.252,0.201,0.113,0.666,0.119,condominium,brick,,no,yes,no,no,yes,790000
2d065d5d34d7dac4ae6800da82b68bb7,krakow,blockOfFlats,64.1,2.0,2.0,4.0,2018.0,50.0113,20.0239,7.82,6.0,0.529,1.576,0.351,0.182,0.547,3.185,0.369,condominium,,,no,yes,yes,yes,no,910000
30922e54cf0420f90cd2df24a85d37cf,krakow,tenement,94.91,3.0,2.0,4.0,,50.057799,19.9284627,0.76,32.0,0.131,0.234,0.03,0.741,0.026,0.58,0.07,condominium,brick,low,no,yes,no,no,no,1518560
051b21dfaae5fbb674cb62e93a25ad78,krakow,apartmentBuilding,58.0,2.0,3.0,5.0,2005.0,50.0710999,19.9321577,1.81,39.0,0.155,0.223,0.123,0.048,0.125,0.16,0.296,condominium,brick,,yes,yes,yes,no,no,1099000
cac0718387e4eb72faeea261afac319b,krakow,blockOfFlats,42.44,2.0,,3.0,2018.0,50.0148,19.8821,6.04,3.0,0.64,1.087,1.162,0.627,0.347,4.137,0.475,condominium,brick,,no,yes,yes,yes,no,699000
3a04c5b3c429cef2adf361aed74734ee,krakow,blockOfFlats,58.0,4.0,3.0,10.0,,50.0734,19.9164,2.55,31.0,0.313,0.057,0.081,0.133,0.026,0.098,0.183,condominium,concreteSlab,,no,yes,yes,yes,yes,949000
a062930b0109879c7405cd5972d319b1,krakow,blockOfFlats,53.0,3.0,1.0,4.0,1980.0,50.09506099,19.94429483,4.44,13.0,0.216,0.727,0.293,0.383,0.166,1.639,0.175,condominium,,,no,yes,no,no,yes,795000
81fd0e26d2fc6db97fde6f66b1f031bf,krakow,apartmentBuilding,26.02,1.0,3.0,4.0,2019.0,50.0325,19.9173,2.95,8.0,0.511,0.453,0.235,0.638,0.368,1.281,0.456,condominium,brick,,yes,yes,yes,no,no,535000
de511c08153f3fdf72cb52c95bc83677,krakow,blockOfFlats,50.65,2.0,,1.0,1953.0,50.0137,19.9145,4.93,1.0,0.864,0.954,0.759,0.325,0.811,3.218,0.752,condominium,brick,,no,no,no,no,yes,639000
13fc42366535592d432c1bfa071df00f,krakow,,41.3,2.0,3.0,5.0,2012.0,50.08905422,19.96295882,4.14,15.0,0.544,0.586,0.146,0.216,0.104,2.436,0.143,condominium,,,no,yes,yes,no,no,670000
cd94a3333c6e87d5c62c2ebac153cbf7,krakow,,48.35,2.0,2.0,4.0,2017.0,50.0951567,19.9835098,5.48,4.0,0.711,1.937,0.465,0.395,0.179,1.396,0.447,condominium,brick,,no,yes,yes,no,no,777000
977867c04a32516b9338c2bed3ae1c60,krakow,blockOfFlats,50.0,2.0,1.0,3.0,1991.0,50.00621105,20.00913759,7.44,10.0,0.245,0.495,0.496,0.219,0.225,3.471,0.189,condominium,concreteSlab,,no,yes,no,no,yes,669000
07f7713e6ea0d5d6173d3acc4f8d9aaa,krakow,tenement,35.88,3.0,3.0,3.0,1890.0,50.0675,19.938,1.36,85.0,0.033,0.417,0.215,0.039,0.033,0.35,0.147,condominium,brick,,yes,no,yes,no,yes,399000
b886edcab3b6cb065204c162983b0557,krakow,tenement,43.44,2.0,,4.0,1890.0,50.0583,19.9269,0.89,28.0,0.171,0.122,0.146,0.716,0.095,0.704,0.165,condominium,brick,,yes,no,no,no,yes,534312
325d4d8736fd16dab190ebc05c62e45d,krakow,tenement,30.19,1.0,,3.0,1890.0,50.0675,19.938,1.36,85.0,0.033,0.417,0.215,0.039,0.033,0.35,0.147,condominium,brick,,yes,no,yes,no,yes,399000
65bc9e9615c4c6eda7da76f67f420385,krakow,apartmentBuilding,53.18,3.0,,7.0,2015.0,50.07948,19.92542,2.85,17.0,0.27,0.653,0.193,0.079,0.099,0.556,0.194,condominium,brick,,yes,no,yes,yes,no,799000
825792f841f3a9ddf9352bf75506bf65,krakow,blockOfFlats,49.35,2.0,6.0,10.0,,50.0788,19.9206,2.91,22.0,0.179,0.686,0.236,0.202,0.341,0.767,0.171,condominium,,,yes,yes,yes,no,yes,799470
2621f06451c0b1107a2de8defc631da0,krakow,blockOfFlats,52.8,3.0,2.0,4.0,1950.0,50.0673,19.9666,2.41,14.0,0.445,0.231,0.721,0.56,0.058,0.447,0.191,condominium,brick,,yes,yes,no,no,yes,936990
3a0540eea581939cc6b2479bbdb7e42c,krakow,blockOfFlats,101.95,4.0,4.0,4.0,2024.0,50.07058259,19.98155594,3.52,13.0,0.411,0.3,0.343,0.246,0.217,1.551,0.28,condominium,,,no,no,yes,no,no,2497775
